Dirección/Etiqueta,Valor
$DATA,5
0x00001004,1
0x00001008,16
0x0000100c,256
0x00001010,4096
0x00001014,65536
kpor8,0
kpor8+0x4,8
kpor8+0x8,16
kpor8+0xc,24
kpor8+0x10,32
kpor8mas1,1
0x00001030,9
0x00001034,17
0x00001038,25
0x0000103c,33
kpor8mas4,4
0x00001044,12
0x00001048,20
0x0000104c,28
0x00001050,36
kpor8mas5,5
0x00001058,13
0x0000105c,21
0x00001060,29
0x00001064,37
kpor8mas6,6
0x0000106c,14
0x00001070,22
0x00001074,30
0x00001078,38
calculoA,1065353216
0x00001080,1031798784
0x00001084,998244352
0x00001088,964689920
0x0000108c,931135488
calculoB,1082130432
0x00001094,1055100473
0x00001098,1047589105
0x0000109c,1042536202
0x000010a0,1039678992
calculoC,1056964608
0x000010a8,1042983595
0x000010ac,1036831949
0x000010b0,1032997157
0x000010b4,1029934649
calculoD,1045220557
0x000010bc,1033734617
0x000010c0,1027804209
0x000010c4,1024277963
0x000010c8,1021142985
calculoE,1042983595
0x000010d0,1032997157
0x000010d4,1027223180
0x000010d8,1023969417
0x000010dc,1020761142
0x000010e0,1078495368
0x000010e4,1040484426
0x000010e8,1026355052
0x000010ec,1017775892
0x000010f0,1011466148
calculoITE,1078495368
0x000010f8,1006929994
0x000010fc,959246188
0x00001100,917112596
0x00001104,877248420
calculoPI,1078495368
0x0000110c,1078529296
0x00001110,1078529988
0x00001114,1078530009
0x00001118,1078530010
0x0000111c,1098907648
0x00001120,0
0x00001124,0
0x00001128,0
0x0000112c,0
0x00001130,0
0x00001134,0
0x00001138,0
0x0000113c,0
